Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Size,Unit Price,Sales,Coffee Type Name,Roast Type Name,Loyalty Card,City,Postcode,Country_cust,Email_cust,Loyalty Card_cust,Email_Missing_Flag,Phone Number,Phone_Missing_Flag,Coffee Type,Size_prod,Unit Price_prod,Profit,Year,Quarter,Month_Num,Month,Day_Name,Week,Is_Weekend,YearMonth,Total_Profit,Profit_Margin_Pct,Price_Bucket,Size_Label,Season,Revenue_Tier
QEV-37451-860,2019-09-05,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,United States,1.0,9.95,19.9,Robusta,Medium,Yes,Paterson,7505,United States,aallner0@lulu.com,Yes,0,+1 (862) 817-0124,0,Rob,1.0,9.95,0.597,2019,3,9,September,Thursday,36,False,2019-09,1.194,6.0,Standard ($7-10),Large,Autumn,Medium
QEV-37451-860,2019-09-05,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,United States,0.5,8.25,41.25,Excelsa,Medium,Yes,Paterson,7505,United States,aallner0@lulu.com,Yes,0,+1 (862) 817-0124,0,Exc,0.5,8.25,0.9075,2019,3,9,September,Thursday,36,False,2019-09,4.5375,11.0,Standard ($7-10),Medium,Autumn,High
FAA-43335-268,2021-06-17,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,United States,1.0,12.95,12.95,Arabica,Large,Yes,San Antonio,78205,United States,jredholes2@tmall.com,Yes,0,+1 (210) 986-6806,0,Ara,1.0,12.95,1.1655,2021,2,6,June,Thursday,24,False,2021-06,1.1655,9.0,Premium ($10-14),Large,Summer,Low
IPP-31994-879,2022-01-21,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,United States,0.5,7.29,21.87,Excelsa,Dark,Yes,Dayton,45440,United States,slobe6@nifty.com,Yes,0,+1 (937) 954-4541,0,Exc,0.5,7.29,0.8019000000000001,2022,1,1,January,Friday,3,False,2022-01,2.4057000000000004,11.0,Standard ($7-10),Medium,Winter,Medium
EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,United States,0.5,5.97,17.91,Robusta,Medium,No,Los Angeles,90045,United States,gpetracci8@livejournal.com,No,0,+1 (310) 868-1842,0,Rob,0.5,5.97,0.35819999999999996,2019,1,1,January,Wednesday,1,False,2019-01,1.0745999999999998,6.0,Budget (<$7),Medium,Winter,Medium
NWQ-70061-912,2019-09-05,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,United States,0.5,5.97,5.97,Robusta,Medium,No,Los Angeles,90065,United States,rraven9@ed.gov,No,0,+1 (213) 263-0288,0,Rob,0.5,5.97,0.35819999999999996,2019,3,9,September,Thursday,36,False,2019-09,0.35819999999999996,6.0,Budget (<$7),Medium,Autumn,Low
BKK-47233-845,2021-03-08,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,United States,1.0,9.95,39.8,Arabica,Dark,No,San Jose,95160,United States,fferbera@businesswire.com,No,0,+1 (408) 383-5302,0,Ara,1.0,9.95,0.8954999999999999,2021,1,3,March,Monday,10,False,2021-03,3.5819999999999994,9.0,Standard ($7-10),Large,Spring,High
VQR-01002-970,2020-10-28,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,United States,2.5,34.154999999999994,170.77499999999998,Excelsa,Large,Yes,San Jose,95194,United States,dphizackerlyb@utexas.edu,Yes,0,+1 (408) 533-6012,0,Exc,2.5,34.154999999999994,3.7570499999999996,2020,4,10,October,Wednesday,44,False,2020-10,18.785249999999998,11.0,Luxury (>$14),XL,Autumn,Top
SZW-48378-399,2022-07-02,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,United States,1.0,9.95,49.75,Robusta,Medium,No,Richmond,23285,United States,rscholarc@nyu.edu,No,0,+1 (804) 420-0420,0,Rob,1.0,9.95,0.597,2022,3,7,July,Saturday,26,True,2022-07,2.985,6.0,Standard ($7-10),Large,Summer,High
ITA-87418-783,2020-05-22,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,United States,2.5,20.584999999999997,41.169999999999995,Robusta,Dark,No,Migrate,41905,United States,tvanyutind@wix.com,No,0,UNKNOWN,1,Rob,2.5,20.584999999999997,1.2350999999999999,2020,2,5,May,Friday,21,False,2020-05,2.4701999999999997,6.0,Luxury (>$14),XL,Spring,High
GNZ-46006-527,2022-04-05,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,United States,0.2,3.885,11.655,Libriac,Dark,Yes,Saint Louis,63131,United States,ptrobee@wunderground.com,Yes,0,+1 (314) 240-7896,0,Lib,0.2,3.885,0.50505,2022,2,4,April,Tuesday,14,False,2022-04,1.51515,13.0,Budget (<$7),Small,Spring,Low
FYQ-78248-319,2022-06-07,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,loscroftf@ebay.co.uk,United States,2.5,22.884999999999998,114.42499999999998,Robusta,Medium,No,Philadelphia,19172,United States,loscroftf@ebay.co.uk,No,0,UNKNOWN,1,Rob,2.5,22.884999999999998,1.3730999999999998,2022,2,6,June,Tuesday,23,False,2022-06,6.865499999999999,6.0,Luxury (>$14),XL,Summer,Top
VAU-44387-624,2019-03-20,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,malabasterg@hexun.com,United States,0.2,3.375,20.25,Arabica,Medium,No,Portland,97271,United States,malabasterg@hexun.com,No,0,+1 (971) 483-6255,0,Ara,0.2,3.375,0.30374999999999996,2019,1,3,March,Wednesday,12,False,2019-03,1.8224999999999998,9.0,Budget (<$7),Small,Spring,Medium
RDW-33155-159,2019-10-19,62173-15287-CU,A-L-1,6,Rhianon Broxup,rbroxuph@jimdo.com,United States,1.0,12.95,77.69999999999999,Arabica,Large,No,Houston,77240,United States,rbroxuph@jimdo.com,No,0,+1 (713) 663-1338,0,Ara,1.0,12.95,1.1655,2019,4,10,October,Saturday,42,True,2019-10,6.993,9.0,Premium ($10-14),Large,Autumn,Top
TDZ-59011-211,2019-06-13,57611-05522-ST,R-D-2.5,4,Pall Redford,predfordi@ow.ly,Ireland,2.5,20.584999999999997,82.33999999999999,Robusta,Dark,Yes,Caherconlish,F45,Ireland,predfordi@ow.ly,Yes,0,UNKNOWN,1,Rob,2.5,20.584999999999997,1.2350999999999999,2019,2,6,June,Thursday,24,False,2019-06,4.9403999999999995,6.0,Luxury (>$14),XL,Summer,Top
IDU-25793-399,2020-12-04,76664-37050-DT,A-M-0.2,5,Aurea Corradino,acorradinoj@harvard.edu,United States,0.2,3.375,16.875,Arabica,Medium,Yes,New York City,10060,United States,acorradinoj@harvard.edu,Yes,0,+1 (646) 202-5965,0,Ara,0.2,3.375,0.30374999999999996,2020,4,12,December,Friday,49,False,2020-12,1.5187499999999998,9.0,Budget (<$7),Small,Winter,Medium
IDU-25793-399,2020-12-04,76664-37050-DT,E-D-0.2,4,Aurea Corradino,acorradinoj@harvard.edu,United States,0.2,3.645,14.58,Excelsa,Dark,Yes,New York City,10060,United States,acorradinoj@harvard.edu,Yes,0,+1 (646) 202-5965,0,Exc,0.2,3.645,0.40095000000000003,2020,4,12,December,Friday,49,False,2020-12,1.6038000000000001,11.0,Budget (<$7),Small,Winter,Low
NUO-20013-488,2020-12-04,03090-88267-BQ,A-D-0.2,6,Avrit Davidowsky,adavidowskyl@netvibes.com,United States,0.2,2.985,17.91,Arabica,Dark,No,Grand Rapids,49560,United States,adavidowskyl@netvibes.com,No,0,+1 (616) 481-9962,0,Ara,0.2,2.985,0.26865,2020,4,12,December,Friday,49,False,2020-12,1.6118999999999999,9.0,Budget (<$7),Small,Winter,Medium
UQU-65630-479,2021-01-22,37651-47492-NC,R-M-2.5,4,Annabel Antuk,aantukm@kickstarter.com,United States,2.5,22.884999999999998,91.53999999999999,Robusta,Medium,Yes,Punta Gorda,33982,United States,aantukm@kickstarter.com,Yes,0,+1 (941) 740-6268,0,Rob,2.5,22.884999999999998,1.3730999999999998,2021,1,1,January,Friday,3,False,2021-01,5.492399999999999,6.0,Luxury (>$14),XL,Winter,Top
FEO-11834-332,2022-02-11,95399-57205-HI,A-D-0.2,4,Iorgo Kleinert,ikleinertn@timesonline.co.uk,United States,0.2,2.985,11.94,Arabica,Dark,Yes,Vancouver,98682,United States,ikleinertn@timesonline.co.uk,Yes,0,+1 (360) 352-6598,0,Ara,0.2,2.985,0.26865,2022,1,2,February,Friday,6,False,2022-02,1.0746,9.0,Budget (<$7),Small,Winter,Low
TKY-71558-096,2021-09-15,24010-66714-HW,A-M-1,1,Chrisy Blofeld,cblofeldo@amazon.co.uk,United States,1.0,11.25,11.25,Arabica,Medium,No,Englewood,80150,United States,cblofeldo@amazon.co.uk,No,0,+1 (303) 936-3357,0,Ara,1.0,11.25,1.0125,2021,3,9,September,Wednesday,37,False,2021-09,1.0125,9.0,Premium ($10-14),Large,Autumn,Low
EVP-43500-491,2019-02-20,49231-44455-IC,A-M-0.5,4,Selene Shales,sshalesq@umich.edu,United States,0.5,6.75,27.0,Arabica,Medium,Yes,Petaluma,94975,United States,sshalesq@umich.edu,Yes,0,+1 (707) 881-5004,0,Ara,0.5,6.75,0.6074999999999999,2019,1,2,February,Wednesday,8,False,2019-02,2.4299999999999997,9.0,Budget (<$7),Medium,Winter,Medium
WAG-26945-689,2019-10-08,50124-88608-EO,A-M-0.2,5,Vivie Danneil,vdanneilr@mtv.com,Ireland,0.2,3.375,16.875,Arabica,Medium,No,Tralee,V92,Ireland,vdanneilr@mtv.com,No,0,+353 (751) 346-0399,0,Ara,0.2,3.375,0.30374999999999996,2019,4,10,October,Tuesday,41,False,2019-10,1.5187499999999998,9.0,Budget (<$7),Small,Autumn,Medium
CHE-78995-767,2022-08-02,00888-74814-UZ,A-D-0.5,3,Theresita Newbury,tnewburys@usda.gov,Ireland,0.5,5.97,17.91,Arabica,Dark,No,Clonskeagh,D04,Ireland,tnewburys@usda.gov,No,0,+353 (803) 587-0026,0,Ara,0.5,5.97,0.5373,2022,3,8,August,Tuesday,31,False,2022-08,1.6118999999999999,9.0,Budget (<$7),Medium,Summer,Medium
