Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Weighted_RFM_Score,Cluster_ID,Cluster_Segment
Abbe Thys,910,1,14.339999999999998,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Abigail Tolworthy,1186,1,8.055,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Abrahan Mussen,883,1,52.125,2,1,3,6,😴 At Risk,2.2,2,Cluster 2
Adelheid Gladhill,317,1,35.82,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Adham Greenhead,656,1,103.49999999999999,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Adolphe Treherne,1063,1,27.5,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Adora Roubert,288,1,137.31,4,1,4,9,⭐ Loyal Customers,3.25,2,Cluster 2
Adorne Gregoratti,896,1,26.73,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Adrianne Vairow,148,1,27.484999999999996,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Agnes Adamides,776,1,41.169999999999995,2,1,3,6,😴 At Risk,2.2,2,Cluster 2
Ailene Nesfield,296,1,29.849999999999998,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Ailey Brash,418,2,206.59999999999997,3,4,4,11,🏆 Champions,3.7,0,Cluster 1
Alberta Balsdone,739,1,28.53,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Alberto Hutchinson,137,1,6.75,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Alfy Snowding,323,1,58.2,3,1,3,7,🔄 Potential Loyalists,2.5,2,Cluster 2
Alisha Hulburt,472,1,11.94,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Alisun Baudino,1226,1,19.424999999999997,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Almeria Burgett,418,1,103.49999999999999,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Aloisia Allner,1080,1,61.15,1,1,3,5,😴 At Risk,1.9,2,Cluster 2
Alon Pllu,435,1,14.58,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Alric Darth,365,1,17.9,3,1,2,6,😐 Need Attention,2.05,3,Cluster 3
Alva Filipczak,305,1,8.73,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Alvis Elwin,953,1,23.775,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Ambrosio Weinmann,1073,1,12.95,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Ameline Snazle,944,1,59.75,2,1,3,6,😴 At Risk,2.2,2,Cluster 2
Ami Arnow,1221,1,38.849999999999994,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Amii Gallyon,311,1,10.739999999999998,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Amity Chatto,1154,1,5.369999999999999,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Anabelle Hutchens,906,1,129.37499999999997,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Ancell Fendt,646,1,26.19,2,1,2,5,😴 At Risk,1.75,3,Cluster 3
Andie Rudram,1318,1,36.455,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Andrej Havick,1257,1,23.31,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Angelia Cleyburn,1050,1,39.8,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Angelia Cockrem,167,1,82.33999999999999,4,1,4,9,⭐ Loyal Customers,3.25,2,Cluster 2
Angie Rizzetti,1310,1,36.45,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Anjanette Goldie,394,1,56.25,3,1,3,7,🔄 Potential Loyalists,2.5,2,Cluster 2
Annabel Antuk,575,1,91.53999999999999,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Annabella Danzey,54,1,8.73,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Annadiane Dykes,925,1,6.75,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Annetta Brentnall,804,1,119.13999999999999,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Annie Campsall,308,1,20.25,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Anny Mundford,509,1,32.22,3,1,3,7,🔄 Potential Loyalists,2.5,3,Cluster 3
Anselma Attwater,1003,2,71.69999999999999,1,4,4,9,🔄 Potential Loyalists,3.1,0,Cluster 1
Anson Iddison,348,1,92.985,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Antone Harrold,457,1,5.369999999999999,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Antonius Lewry,153,1,45.0,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Araldo Bilbrook,1191,1,16.11,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Archambault Gillard,522,1,72.75,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Arda Curley,1149,1,7.77,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Ardith Chill,291,1,28.53,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Arel De Lasci,147,1,38.849999999999994,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Arlana Ferrea,604,1,44.55,3,1,3,7,🔄 Potential Loyalists,2.5,2,Cluster 2
Arleen Braidman,885,1,17.91,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Ashbey Tomaszewski,1103,1,43.019999999999996,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Astrix Kitchingham,95,1,4.455,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Audra Kelston,334,1,20.25,3,1,2,6,😐 Need Attention,2.05,3,Cluster 3
Auguste Rizon,377,1,68.75,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Augustin Waterhouse,74,1,46.62,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Aurea Corradino,624,1,31.455,2,1,2,5,😴 At Risk,1.75,3,Cluster 3
Aurelia Burgwin,978,1,109.93999999999998,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Avrit Davidowsky,624,1,17.91,2,1,2,5,😴 At Risk,1.75,3,Cluster 3
Babb Pollins,36,1,21.87,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Bar O' Mahony,526,1,7.77,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Barnett Sillis,676,1,55.0,2,1,3,6,😴 At Risk,2.2,2,Cluster 2
Barrett Gudde,1057,1,19.02,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Barrie Fallowes,440,1,12.375,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
