Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
Abbe Thys,910,1,14.339999999999998,2,1,1,4,😐 Need Attention
Abigail Tolworthy,1186,1,8.055,1,1,1,3,💀 Lost Customers
Abrahan Mussen,883,1,52.125,2,1,3,6,😴 At Risk
Adelheid Gladhill,317,1,35.82,4,1,3,8,⭐ Loyal Customers
Adham Greenhead,656,1,103.49999999999999,2,1,4,7,🔄 Potential Loyalists
Adolphe Treherne,1063,1,27.5,1,1,2,4,💀 Lost Customers
Adora Roubert,288,1,137.31,4,1,4,9,⭐ Loyal Customers
Adorne Gregoratti,896,1,26.73,2,1,2,5,😴 At Risk
Adrianne Vairow,148,1,27.484999999999996,4,1,2,7,🔄 Potential Loyalists
Agnes Adamides,776,1,41.169999999999995,2,1,3,6,😴 At Risk
Ailene Nesfield,296,1,29.849999999999998,4,1,2,7,🔄 Potential Loyalists
Ailey Brash,418,2,206.59999999999997,3,4,4,11,🏆 Champions
Alberta Balsdone,739,1,28.53,2,1,2,5,😴 At Risk
Alberto Hutchinson,137,1,6.75,4,1,1,6,🆕 New Customers
Alfy Snowding,323,1,58.2,3,1,3,7,🔄 Potential Loyalists
Alisha Hulburt,472,1,11.94,3,1,1,5,😐 Need Attention
Alisun Baudino,1226,1,19.424999999999997,1,1,2,4,💀 Lost Customers
Almeria Burgett,418,1,103.49999999999999,3,1,4,8,⭐ Loyal Customers
Aloisia Allner,1080,1,61.15,1,1,3,5,😴 At Risk
Alon Pllu,435,1,14.58,3,1,1,5,😐 Need Attention
Alric Darth,365,1,17.9,3,1,2,6,😐 Need Attention
Alva Filipczak,305,1,8.73,4,1,1,6,🆕 New Customers
Alvis Elwin,953,1,23.775,2,1,2,5,😴 At Risk
Ambrosio Weinmann,1073,1,12.95,1,1,1,3,💀 Lost Customers
Ameline Snazle,944,1,59.75,2,1,3,6,😴 At Risk
Ami Arnow,1221,1,38.849999999999994,1,1,3,5,😴 At Risk
Amii Gallyon,311,1,10.739999999999998,4,1,1,6,🆕 New Customers
Amity Chatto,1154,1,5.369999999999999,1,1,1,3,💀 Lost Customers
Anabelle Hutchens,906,1,129.37499999999997,2,1,4,7,🔄 Potential Loyalists
Ancell Fendt,646,1,26.19,2,1,2,5,😴 At Risk
Andie Rudram,1318,1,36.455,1,1,3,5,😴 At Risk
Andrej Havick,1257,1,23.31,1,1,2,4,💀 Lost Customers
Angelia Cleyburn,1050,1,39.8,1,1,3,5,😴 At Risk
Angelia Cockrem,167,1,82.33999999999999,4,1,4,9,⭐ Loyal Customers
Angie Rizzetti,1310,1,36.45,1,1,3,5,😴 At Risk
Anjanette Goldie,394,1,56.25,3,1,3,7,🔄 Potential Loyalists
Annabel Antuk,575,1,91.53999999999999,3,1,4,8,⭐ Loyal Customers
Annabella Danzey,54,1,8.73,4,1,1,6,🆕 New Customers
Annadiane Dykes,925,1,6.75,2,1,1,4,😐 Need Attention
Annetta Brentnall,804,1,119.13999999999999,2,1,4,7,🔄 Potential Loyalists
Annie Campsall,308,1,20.25,4,1,2,7,🔄 Potential Loyalists
Anny Mundford,509,1,32.22,3,1,3,7,🔄 Potential Loyalists
Anselma Attwater,1003,2,71.69999999999999,1,4,4,9,🔄 Potential Loyalists
Anson Iddison,348,1,92.985,3,1,4,8,⭐ Loyal Customers
Antone Harrold,457,1,5.369999999999999,3,1,1,5,😐 Need Attention
Antonius Lewry,153,1,45.0,4,1,3,8,⭐ Loyal Customers
Araldo Bilbrook,1191,1,16.11,1,1,1,3,💀 Lost Customers
